Time,Close,,,,,
Jan 12,269.78,244.24,272.47,242.96,-,12.69%
Dec 11,239.41,271.02,273.94,231.88,-,-11.44%
Nov 11,270.35,265.7,281.79,257.77,-,-0.05%
Oct 11,270.49,256.55,275.44,247.36,-,8.04%
Sep 11,250.37,295.81,308.05,242.77,-,-15.61%
Aug 11,296.69,267.05,308.41,265.49,-,10.09%
Jul 11,269.5,241.5,271.72,239.41,-,10.13%
Jun 11,244.72,254.48,257.01,240.85,-,-4.08%
May 11,255.12,269.32,276.09,237.78,-,-7.62%
Apr 11,276.17,242.01,276.77,238.24,-,13.73%
Mar 11,242.83,234.86,244.48,228.21,-,4.65%
Feb 11,232.05,213.26,233.09,211.21,-,9.06%
Jan 11,212.77,230.01,230.24,207.31,-,-7.13%
Dec 10,229.1,220.96,229.79,214.29,-,4.76%
Nov 10,218.68,208.34,225.83,202.33,-,5.56%
Oct 10,207.16,196.36,210.77,195.96,-,6.07%
Sep 10,195.3,183.76,196.81,182.04,-,6.69%
Aug 10,183.06,172.09,183.23,171.97,-,6.12%
Jul 10,172.51,180.68,180.79,168.41,-,-4.91%
Jun 10,181.41,178.64,185.3,173.26,-,2.24%
May 10,177.44,174.88,184.35,168.17,-,1.73%
Apr 10,174.42,165.17,174.94,164.78,-,6.00%
Mar 10,164.54,161.92,167.68,159.36,-,1.12%
Feb 10,162.71,159,166.96,150.14,-,2.90%
Jan 10,158.13,163.74,173.48,156.68,-,-1.67%
Dec 09,160.82,176.05,180.74,158.47,-,-7.82%
Nov 09,174.47,156.11,175.98,155.19,-,13.57%
Oct 09,153.62,151,161.65,147.17,-,1.35%
Sep 09,151.58,140.31,160.44,139.89,-,7.60%
Aug 09,140.87,140.1,143.38,134.89,-,1.78%
Jul 09,138.4,135.23,139.33,129.42,-,2.67%
Jun 09,134.8,147.46,148.12,133.77,-,-7.76%
May 09,146.14,126.83,146.42,126.33,-,14.47%
Apr 09,127.67,133.61,134.72,123.65,-,-4.12%
Mar 09,133.16,136.25,139.47,126.44,-,-1.77%
Feb 09,135.56,129.76,146.66,127.43,-,2.22%
Jan 09,132.61,122.75,133.09,113.21,-,6.37%
Dec 08,124.67,110.96,125.33,103.77,-,8.47%
Nov 08,114.93,105.06,117.31,98.37,-,11.77%
Oct 08,102.83,125.88,133.37,98.02,-,-18.97%
Sep 08,126.91,121.61,134.58,106.61,-,1.42%
Aug 08,125.13,144.06,145.01,117.34,-,-13.54%
Jul 08,144.72,146.23,157.17,140.3,-,-0.74%
Jun 08,145.8,139.93,147.28,129.39,-,3.86%
May 08,140.38,137.59,148.41,134.03,-,2.30%
Apr 08,137.22,142.1,152,137.14,-,-5.72%
Mar 08,145.55,160.03,166.48,144.06,-,-8.07%
Feb 08,158.32,148.22,158.56,140.12,-,8.22%
Jan 08,146.29,133.24,147.05,133.24,-,10.90%
Dec 07,131.91,123.8,132.68,123.73,-,6.00%
Nov 07,124.44,126.98,136.34,123.57,-,-1.98%
Oct 07,126.95,120.13,127.12,115.97,-,5.49%
Sep 07,120.34,108.68,120.76,108.36,-,10.86%
Aug 07,108.55,109.14,111.69,103.02,-,-1.50%
Jul 07,110.2,107.86,114.02,106.12,-,2.89%
Jun 07,107.1,111.97,113.75,105.71,-,-3.87%
May 07,111.41,113.84,116.04,108.98,-,-2.74%
Apr 07,114.55,112.5,117.55,110.95,-,1.61%
Mar 07,112.73,115.83,116.48,107.24,-,-2.53%
Feb 07,115.66,113.62,119.41,110.77,-,2.65%
Jan 07,112.67,109.4,113.25,103.45,-,2.83%
Dec 06,109.57,113.72,115.14,105.66,-,-4.05%
