Time,Close,,,,,
Jan 15,0.774,0.8238,0.9477,0.7588,-,-7.08%
Dec 14,0.833,1.1484,1.1556,0.8318,-,-28.87%
Nov 14,1.1711,1.1799,1.3432,1.159,-,3.26%
Oct 14,1.1341,1.2344,1.2524,1.0625,-,-8.08%
Sep 14,1.2338,1.2141,1.2491,1.1479,-,0.12%
Aug 14,1.2323,1.1704,1.238,1.1491,-,4.74%
Jul 14,1.1765,1.345,1.3683,1.1456,-,-13.49%
Jun 14,1.36,1.394,1.4663,1.3346,-,-1.73%
May 14,1.384,1.4757,1.4781,1.3218,-,-6.21%
Apr 14,1.4757,1.344,1.4861,1.3012,-,9.55%
Mar 14,1.3471,1.4023,1.4389,1.3126,-,-3.94%
Feb 14,1.4023,1.4177,1.6446,1.3153,-,-1.09%
Jan 14,1.4177,1.2026,1.5723,1.1289,-,17.89%
Dec 13,1.2026,1.1252,1.305,1.1096,-,6.88%
Nov 13,1.1252,1.0424,1.1266,0.986,-,7.94%
Oct 13,1.0424,1.0836,1.1645,1.039,-,-3.80%
Sep 13,1.0836,1.1213,1.1816,1.0543,-,-3.36%
Aug 13,1.1213,1.0922,1.1435,1.0026,-,2.16%
Jul 13,1.0976,1.1336,1.2205,1.0893,-,-3.18%
Jun 13,1.1336,1.2781,1.2945,1.1224,-,-11.22%
May 13,1.2768,1.4198,1.4406,1.2615,-,-9.33%
Apr 13,1.4082,1.3025,1.4387,1.2648,-,6.93%
Mar 13,1.3169,1.1568,1.3421,1.1378,-,13.97%
Feb 13,1.1555,1.1445,1.1779,1.0717,-,1.63%
Jan 13,1.137,1.1387,1.2323,1.0573,-,-0.78%
Dec 12,1.1459,1.2401,1.29,1.1363,-,-6.61%
Nov 12,1.227,1.3307,1.3927,1.2229,-,-6.78%
Oct 12,1.3162,1.3145,1.4082,1.2947,-,2.06%
Sep 12,1.2896,1.1289,1.2908,1.09,-,12.04%
Aug 12,1.151,1.3301,1.3577,1.0841,-,-14.44%
Jul 12,1.3452,1.1792,1.3732,1.1343,-,13.28%
Jun 12,1.1875,1.0304,1.2458,0.9491,-,12.20%
May 12,1.0584,1.0549,1.2367,1.0225,-,1.18%
Apr 12,1.0461,1.0428,1.0796,0.9207,-,0.36%
Mar 12,1.0423,1.2992,1.3046,1.0398,-,-21.55%
Feb 12,1.3286,1.3261,1.4507,1.2815,-,-3.17%
Jan 12,1.3721,1.6917,1.7241,1.2746,-,-17.01%
Dec 11,1.6534,1.9942,2.0527,1.6484,-,-16.32%
Nov 11,1.9758,2.2291,2.2302,1.9285,-,-12.48%
Oct 11,2.2575,2.311,2.3205,2.154,-,-2.05%
Sep 11,2.3047,2.6461,2.6612,2.3035,-,-12.15%
Aug 11,2.6235,2.741,2.7626,2.4651,-,-3.55%
Jul 11,2.72,2.8545,3.0087,2.6766,-,-5.64%
Jun 11,2.8827,3.0986,3.2946,2.7665,-,-6.85%
May 11,3.0946,3.1709,3.1822,2.7564,-,-2.00%
Apr 11,3.1576,3.0036,3.1609,2.7498,-,4.63%
Mar 11,3.018,2.8214,3.1274,2.6213,-,6.79%
Feb 11,2.8262,3.074,3.1793,2.6776,-,-9.58%
Jan 11,3.1256,3.2338,3.4007,3.0209,-,-0.04%
Dec 10,3.127,2.9978,3.2563,2.8144,-,6.21%
Nov 10,2.9443,3.0661,3.1802,2.7414,-,-1.99%
Oct 10,3.0042,3.1683,3.2138,2.7294,-,-6.14%
Sep 10,3.2006,3.3832,3.5527,3.1245,-,-6.65%
Aug 10,3.4287,4.3469,4.3592,3.3014,-,-20.51%
Jul 10,4.3136,4.0341,4.3329,3.759,-,5.83%
Jun 10,4.0761,3.8876,4.6238,3.7927,-,4.82%
May 10,3.8885,3.6601,4.0945,3.5571,-,7.19%
Apr 10,3.6278,3.6723,4.102,3.5992,-,-0.93%
Mar 10,3.6619,4.563,4.6671,3.5965,-,-20.70%
Feb 10,4.6179,5.0547,5.4079,4.5459,-,-5.55%
Jan 10,4.889,5.4949,5.7427,4.8213,-,-7.25%
Dec 09,5.271,4.6068,5.7093,4.3084,-,11.84%
Nov 09,4.7128,5.1969,5.2018,4.4328,-,-10.06%
Oct 09,5.2397,5.656,6.15,5.1522,-,-9.88%
Sep 09,5.814,4.792,5.993,4.225,-,21.07%
Aug 09,4.802,5.893,6.572,4.725,-,-16.75%
Jul 09,5.768,6.244,6.387,5.315,-,-8.27%
Jun 09,6.288,6.857,7.447,6.14,-,-5.19%
May 09,6.632,6.131,8.038,6.053,-,9.10%
Apr 09,6.079,6.987,7.307,5.871,-,-13.98%
Mar 09,7.067,8.053,8.897,6.801,-,-11.74%
Feb 09,8.007,8.264,9.401,7.496,-,-5.90%
Jan 09,8.509,10.909,12.031,8.39,-,-21.92%
Dec 08,10.898,12.673,12.96,10.175,-,-14.30%
Nov 08,12.716,13.536,14.817,12.159,-,-7.69%
Oct 08,13.776,15.982,16.977,12.784,-,-13.40%
Sep 08,15.907,16.585,18.38,15.304,-,-11.06%
Aug 08,17.886,20.273,21.309,17.37,-,-12.93%
Jul 08,20.541,30.432,30.878,19.845,-,-32.04%
Jun 08,30.225,26.869,30.427,26.795,-,13.71%
May 08,26.581,25.023,27.617,24.121,-,6.59%
Apr 08,24.937,23.011,26.306,21.512,-,6.68%
Mar 08,23.375,21.799,23.974,20.248,-,7.26%
Feb 08,21.792,18.721,22.051,17.739,-,15.42%
Jan 08,18.88,17.98,19.636,17.594,-,7.35%
Dec 07,17.587,16.901,18.088,16.374,-,1.41%
Nov 07,17.343,20.839,21.482,17.281,-,-15.68%
Oct 07,20.568,18.903,20.886,18.407,-,8.16%
Sep 07,19.017,17.5,20.315,17.428,-,6.33%
Aug 07,17.885,20.299,22.503,17.777,-,-10.57%
Jul 07,19.998,21.843,22.466,18.913,-,-9.86%
Jun 07,22.185,26.325,28.617,21.471,-,-15.94%
May 07,26.392,26.342,28.038,25.344,-,-1.01%
Apr 07,26.661,26.632,27.601,25.111,-,-0.20%
Mar 07,26.715,25.481,27.06,23.974,-,4.39%
Feb 07,25.592,27.525,28.177,24.959,-,-4.82%
Jan 07,26.887,22.808,27.935,21.707,-,17.90%
Dec 06,22.805,30.993,31.093,21.767,-,-27.78%
Nov 06,31.578,28.547,32.535,27.854,-,10.57%
Oct 06,28.558,26.743,32.389,25.875,-,7.22%
Sep 06,26.634,33.126,33.192,25.117,-,-31.69%
Aug 06,38.99,38.99,38.99,38.99,-,-19.43%
Jul 06,48.39,48.39,48.39,48.39,-,28.90%
Jun 06,37.54,37.54,37.54,37.54,-,-9.39%
May 06,41.43,41.43,41.43,41.43,-,-6.25%
Apr 06,44.19,44.19,44.19,44.19,-,-10.98%
Mar 06,49.64,49.64,49.64,49.64,-,4.36%
Feb 06,47.564,47.564,47.564,47.564,-,-29.15%
Jan 06,67.138,67.138,67.138,67.138,-,-17.99%
Dec 05,81.862,81.862,81.862,81.862,-,-9.64%
Nov 05,90.598,90.598,90.598,90.598,-,-0.43%
Oct 05,90.986,90.986,90.986,90.986,-,-15.16%
Sep 05,107.241,107.241,107.241,107.241,-,19.42%
Aug 05,89.8,89.8,89.8,89.8,-,40.11%
Jul 05,64.093,64.093,64.093,64.093,-,12.15%
Jun 05,57.151,57.151,57.151,57.151,-,8.93%
May 05,52.467,52.467,52.467,52.467,-,-4.71%
Apr 05,55.058,55.058,55.058,55.058,-,-15.09%
Mar 05,64.845,64.845,64.845,64.845,-,12.38%
Feb 05,57.702,57.702,57.702,57.702,-,5.59%
Jan 05,54.648,54.648,54.648,54.648,-,2.03%
Dec 04,53.559,53.559,53.559,53.559,-,-19.59%
Nov 04,66.611,66.611,66.611,66.611,-,-18.79%
Oct 04,82.023,82.023,82.023,82.023,-,12.22%
Sep 04,73.09,73.09,73.09,73.09,-,18.86%
Aug 04,61.495,61.495,61.495,61.495,-,-15.90%
Jul 04,73.117,73.117,73.117,73.117,-,-1.00%
Jun 04,73.859,73.859,73.859,73.859,-,-5.35%
May 04,78.035,78.035,78.035,78.035,-,8.27%
Apr 04,72.076,72.076,72.076,72.076,-,-2.13%
Mar 04,73.642,73.642,73.642,73.642,-,8.64%
Feb 04,67.784,67.784,67.784,67.784,-,3.37%
Jan 04,65.573,65.573,65.573,65.573,-,-9.99%
Dec 03,72.851,72.851,72.851,72.851,-,29.38%
Nov 03,56.306,56.306,56.306,56.306,-,-3.98%
Oct 03,58.638,58.638,58.638,58.638,-,-2.50%
Sep 03,60.139,60.139,60.139,60.139,-,-3.03%
Aug 03,62.019,62.019,62.019,62.019,-,0.67%
Jul 03,61.605,61.605,61.605,61.605,-,-13.48%
Jun 03,71.202,71.202,71.202,71.202,-,-14.14%
May 03,82.926,82.926,82.926,82.926,-,14.38%
Apr 03,72.499,72.499,72.499,72.499,-,6.42%
Mar 03,68.124,68.124,68.124,68.124,-,-16.65%
Feb 03,81.736,81.736,81.736,81.736,-,18.48%
Jan 03,68.988,68.988,68.988,68.988,-,19.46%
Dec 02,57.751,57.751,57.751,57.751,-,15.81%
Nov 02,49.867,49.867,49.867,49.867,-,-1.32%
Oct 02,50.532,50.532,50.532,50.532,-,-5.38%
