Time,Close,Open,High,Low,,
Feb 18,88.1409,89.653,90.1056,85.2975,-,-1.85%
Jan 18,89.8001,88.285,91.1723,87.4685,-,1.85%
Dec 17,88.1674,85.9018,88.2187,83.3717,-,2.88%
Nov 17,85.7033,86.5622,88.2404,85.6366,-,-0.56%
Oct 17,86.1882,84.3862,86.3922,83.4233,-,2.05%
Sep 17,84.4599,84.6792,86.0718,84.3615,-,-0.23%
Aug 17,84.6565,84.4559,84.9759,82.2795,-,0.31%
Jul 17,84.3915,82.7692,84.687,81.6722,-,2.17%
Jun 17,82.6017,82.9498,83.0451,79.3459,-,-0.27%
May 17,82.8292,84.0805,85.4574,81.6728,-,-1.41%
Apr 17,84.0128,85.4373,86.4599,83.2345,-,-1.57%
Mar 17,85.3508,87.7673,88.3602,83.5633,-,-2.72%
Feb 17,87.7388,87.5611,89.4476,86.9535,-,0.17%
Jan 17,87.5922,87.3407,89.4727,86.0015,-,0.09%
Dec 16,87.5144,86.0589,89.0919,85.8434,-,1.76%
Nov 16,86.0015,85.1458,86.46,81.7879,-,1.30%
Oct 16,84.9011,85.2808,87.0755,84.6232,-,-0.52%
Sep 16,85.342,82.9092,86.0463,82.0268,-,3.10%
Aug 16,82.7727,84.1692,86.8283,82.4494,-,-1.79%
Jul 16,84.2809,89.1615,89.7142,82.8144,-,-5.13%
Jun 16,88.8423,85.126,90.3087,84.6756,-,4.11%
May 16,85.3383,85.3387,86.0376,81.6697,-,-0.21%
Apr 16,85.5205,78.7907,85.7885,76.7958,-,8.49%
Mar 16,78.8272,75.7828,81.57,75.562,-,3.79%
Feb 16,75.9463,76.5692,77.1573,73.7065,-,-1.65%
Jan 16,77.2234,78.6714,79.0508,72.3315,-,-1.70%
Dec 15,78.5588,81.4159,81.9386,76.1606,-,-3.11%
Nov 15,81.0781,87.2331,88.1274,80.1942,-,-7.26%
Oct 15,87.4289,88.063,91.9434,86.4735,-,-0.45%
Sep 15,87.8214,90.0607,90.6619,86.8222,-,-3.42%
Aug 15,90.9328,91.4864,92.6283,85.1001,-,-0.93%
Jul 15,91.7827,102.348,102.581,91.6714,-,-10.62%
Jun 15,102.6892,100.6221,103.453,99.0768,-,1.73%
May 15,100.9465,103.6401,105.9407,99.5219,-,-2.70%
Apr 15,103.7471,98.3513,103.8027,98.0407,-,5.73%
Mar 15,98.123,103.4115,103.5126,96.2058,-,-5.14%
Feb 15,103.4379,100.0853,104.7568,99.8801,-,2.57%
Jan 15,100.8413,104.5145,104.6814,98.2747,-,-3.34%
Dec 14,104.3285,111.4802,114.8366,104.147,-,-7.63%
Nov 14,112.9451,117.7894,118.7349,112.8565,-,-4.07%
Oct 14,117.7365,118.5069,120.1733,115.7011,-,-0.81%
Sep 14,118.6922,126.1774,126.4611,118.2027,-,-6.23%
Aug 14,126.5745,127.827,128.308,124.8005,-,-1.05%
Jul 14,127.9143,134.4196,134.5142,127.8809,-,-4.99%
Jun 14,134.6268,133.6506,137.1773,132.8062,-,0.59%
May 14,133.8324,137.7964,137.7964,133.7872,-,-2.88%
Apr 14,137.7964,134.5234,138.6677,133.1235,-,2.43%
Mar 14,134.5234,133.9783,137.1339,132.6818,-,0.41%
Feb 14,133.9783,126.1206,134.4524,125.6454,-,6.23%
Jan 14,126.1206,125.7515,127.6673,122.2242,-,0.29%
Dec 13,125.7515,124.2192,127.9829,123.4491,-,1.23%
Nov 13,124.2192,125.2281,125.4584,122.0029,-,-0.81%
Oct 13,125.2281,127.1103,129.113,125.1943,-,-1.48%
Sep 13,127.1103,130.4445,132.01,126.6302,-,-2.56%
Aug 13,130.4445,126.89,133.6283,123.6052,-,3.40%
Jul 13,126.1571,125.1129,130.1832,125.0462,-,1.36%
Jun 13,124.4663,131.6818,132.952,124.4387,-,-4.72%
May 13,130.6295,132.4578,133.4615,130.5648,-,-2.25%
Apr 13,133.6316,136.3835,137.1001,129.8346,-,-2.80%
Mar 13,137.4762,135.5186,139.5429,135.3708,-,0.67%
Feb 13,136.5666,142.8507,143.675,136.3911,-,-4.09%
Jan 13,142.3956,139.8534,143.019,137.0224,-,2.39%
Dec 12,139.0707,143.4738,144.1069,138.2193,-,-2.61%
Nov 12,142.8028,143.6588,144.2749,139.8124,-,0.04%
Oct 12,142.7416,148.1603,149.9076,142.0861,-,-3.88%
Sep 12,148.5061,148.4435,152.7147,144.8674,-,1.70%
Aug 12,146.0275,143.5103,147.0583,140.6889,-,1.29%
Jul 12,144.169,135.1647,146.2106,134.676,-,6.46%
Jun 12,135.4213,127.1123,135.5917,126.2241,-,5.49%
May 12,128.3789,140.6898,141.7193,128.3693,-,-9.14%
Apr 12,141.2917,141.9699,144.069,136.9633,-,-0.43%
