Time,Close,,,,,
Jun 13,127.13,138.39,141.43,125.77,-,-7.11%
May 13,136.86,132.16,140.13,130.39,-,1.60%
Apr 13,134.7,141.19,142.64,133.19,-,-5.07%
Mar 13,141.89,145.87,148.34,141.72,-,-4.53%
Feb 13,148.63,157.66,160.11,148.55,-,-5.64%
Jan 13,157.51,156.71,159.61,150.86,-,2.28%
Dec 12,154,155.03,157.8,151.46,-,-0.74%
Nov 12,155.15,146.43,155.16,142.76,-,6.98%
Oct 12,145.03,158.84,162.35,142.95,-,-9.28%
Sep 12,159.87,148.84,162.81,145.15,-,11.02%
Aug 12,144,142.97,146.39,139.13,-,0.27%
Jul 12,143.61,146.54,151.54,141.28,-,-2.49%
Jun 12,147.27,145.73,148.83,140.45,-,0.37%
May 12,146.72,161.54,162.98,146.57,-,-9.66%
Apr 12,162.4,162.19,164.95,155.86,-,0.30%
Mar 12,161.91,171.71,173.19,160.29,-,-5.39%
Feb 12,171.14,171.03,176.22,162.22,-,0.78%
Jan 12,169.82,154.14,175.66,151.95,-,10.91%
Dec 11,153.11,158.6,161.94,147.16,-,-4.25%
Nov 11,159.91,158.96,161.99,148.42,-,-3.01%
Oct 11,164.88,150.46,167.79,145.4,-,9.32%
Sep 11,150.82,185.78,186.86,150.66,-,-20.06%
Aug 11,188.67,204.66,205.07,177.57,-,-7.49%
Jul 11,203.94,194.06,204.43,193.47,-,4.53%
Jun 11,195.11,195.28,195.54,185.25,-,-0.44%
May 11,195.98,201.07,204.53,183.93,-,-2.75%
Apr 11,201.52,200.32,211.51,198.11,-,-0.51%
Mar 11,202.55,211.19,212.35,192.22,-,-3.80%
Feb 11,210.56,206.9,212.62,201.97,-,2.43%
Jan 11,205.56,203.05,205.56,192.65,-,1.67%
Dec 10,202.18,182.41,202.77,181.76,-,12.60%
Nov 10,179.55,185.69,196.1,173.26,-,-1.87%
Oct 10,182.98,181.48,189.95,179.02,-,1.74%
Sep 10,179.85,165.93,180.3,165.38,-,10.29%
Aug 10,163.07,167.2,171.14,156.01,-,-1.43%
Jul 10,165.43,146.52,165.43,144.87,-,10.66%
Jun 10,149.5,153.86,156.77,138.01,-,-5.71%
May 10,158.55,176.96,178.43,150.55,-,-11.33%
Apr 10,178.81,187.65,193.86,175.19,-,-3.23%
Mar 10,184.78,170.46,185.61,169.74,-,9.64%
Feb 10,168.53,158.5,172,147.76,-,6.05%
Jan 10,158.91,177.53,184.25,158.7,-,-8.76%
Dec 09,174.16,162.89,179.57,160.72,-,7.55%
Nov 09,161.94,155.09,163.39,151.54,-,4.64%
Oct 09,154.76,147.74,163.5,140.54,-,3.88%
Sep 09,148.98,149.11,155.17,141.18,-,-0.72%
Aug 09,150.06,148.55,159.52,143.98,-,4.88%
Jul 09,143.08,125.86,143.27,118.14,-,15.30%
Jun 09,124.09,119.91,132.63,117.57,-,5.70%
May 09,117.4,112.62,120.75,109.76,-,5.66%
Apr 09,111.11,99.88,118.03,98.85,-,9.60%
Mar 09,101.38,89.88,103.78,89.26,-,11.02%
Feb 09,91.32,91.02,99.77,86.54,-,-0.16%
Jan 09,91.47,98.52,105.75,88.99,-,-5.62%
Dec 08,96.92,106.16,106.17,89.22,-,-9.98%
Nov 08,107.66,119.3,128.18,104.7,-,-10.53%
