Time,Close,Open,High,Low,,
May 16,"2,382.75","2,325.00","2,408.79","2,204.10",-,2.22%
Apr 16,"2,331.04","2,113.68","2,350.86","2,022.78",-,10.14%
Mar 16,"2,116.44","2,017.20","2,229.88","1,998.66",-,4.93%
Feb 16,"2,016.99","2,047.59","2,059.67","1,868.76",-,-2.01%
Jan 16,"2,058.38","2,181.27","2,211.55","1,837.41",-,-5.17%
Dec 15,"2,170.62","2,377.32","2,397.20","2,114.04",-,-8.63%
Nov 15,"2,375.62","2,605.59","2,658.99","2,342.59",-,-8.97%
Oct 15,"2,609.60","2,614.46","2,783.71","2,511.67",-,0.23%
Sep 15,"2,603.62","2,779.50","2,779.50","2,566.08",-,-6.33%
Aug 15,"2,779.47","2,767.53","2,783.15","2,439.23",-,0.30%
Jul 15,"2,771.17","3,214.82","3,217.18","2,761.49",-,-14.10%
Jun 15,"3,226.12","3,224.00","3,299.55","3,116.20",-,-0.11%
May 15,"3,229.74","3,295.91","3,392.48","3,119.21",-,-1.99%
Apr 15,"3,295.22","2,964.33","3,298.09","2,957.77",-,11.06%
Mar 15,"2,967.12","3,184.71","3,184.79","2,866.12",-,-6.81%
Feb 15,"3,183.79","2,990.75","3,239.28","2,950.70",-,6.47%
Jan 15,"2,990.45","3,232.96","3,259.42","2,856.10",-,-7.50%
Dec 14,"3,232.80","3,719.84","3,836.87","3,209.39",-,-13.63%
Nov 14,"3,742.98","4,201.17","4,224.44","3,734.98",-,-10.92%
Oct 14,"4,201.84","4,472.26","4,517.94","4,103.66",-,-5.98%
Sep 14,"4,469.27","4,751.71","4,751.71","4,460.92",-,-6.02%
Aug 14,"4,755.75","4,832.12","4,848.96","4,654.92",-,-1.64%
Jul 14,"4,835.02","5,106.23","5,115.85","4,828.33",-,-5.30%
Jun 14,"5,105.46","4,996.46","5,213.72","4,950.44",-,2.12%
May 14,"4,999.62","5,006.83","5,085.02","4,963.40",-,-0.18%
Apr 14,"5,008.40","4,969.84","5,092.39","4,861.58",-,0.74%
Mar 14,"4,971.54","4,969.49","5,070.25","4,876.43",-,0.14%
Feb 14,"4,964.60","4,747.56","5,003.83","4,715.19",-,4.51%
Jan 14,"4,750.44","4,833.10","4,850.40","4,615.00",-,-1.64%
Dec 13,"4,829.47","4,742.90","4,908.00","4,725.00",-,1.93%
Nov 13,"4,738.15","4,775.50","4,789.50","4,630.60",-,-0.78%
Oct 13,"4,775.37","4,845.60","4,940.80","4,755.90",-,-1.44%
Sep 13,"4,845.28","5,018.40","5,074.60","4,813.70",-,-3.39%
Aug 13,"5,015.39","4,854.30","5,155.80","4,742.60",-,3.38%
Jul 13,"4,851.60","4,623.90","4,969.50","4,609.20",-,4.91%
