Time,Close,,,,,
Feb 18,102.92,97.83,103.39,96.73,-,4.71%
Jan 18,98.29,96.98,99.13,95.19,-,1.35%
Dec 17,96.98,98.55,99.85,95.47,-,-1.49%
Nov 17,98.45,98.1,99.74,97.41,-,0.40%
Oct 17,98.06,98.86,100,97.3,-,-0.92%
Sep 17,98.97,99.01,101.07,97.64,-,0.00%
Aug 17,98.97,106.06,106.19,96.85,-,-6.86%
Jul 17,106.26,106.82,111.36,103.96,-,0.85%
Jun 17,105.36,102.28,105.55,99.57,-,3.07%
May 17,102.22,105.25,107.63,101.67,-,-2.16%
Apr 17,104.48,106.21,107.19,103.46,-,-1.23%
Mar 17,105.78,112.57,114.51,104.61,-,-5.83%
Feb 17,112.33,112.48,116.7,110.63,-,-0.28%
Jan 17,112.65,109.29,116.39,109.03,-,3.33%
Dec 16,109.02,111.71,113.7,106.68,-,-2.26%
Nov 16,111.54,114.68,116.16,110.67,-,-2.86%
Oct 16,114.82,111.4,116.9,110.07,-,3.11%
Sep 16,111.36,106.84,114.3,106.81,-,4.25%
Aug 16,106.82,111.69,113.79,106.7,-,-4.79%
Jul 16,112.19,121.25,121.59,109.56,-,-7.41%
Jun 16,121.17,118.72,129.93,117.75,-,1.78%
May 16,119.05,115.26,120.92,111.77,-,3.43%
Apr 16,115.1,107.75,118.19,105.94,-,7.03%
Mar 16,107.54,102.99,110.28,102.19,-,4.44%
Feb 16,102.97,105.43,106.52,102.64,-,-2.79%
Jan 16,105.92,106.61,107.31,103.31,-,-0.81%
Dec 15,106.79,108.27,111.55,105.68,-,-1.00%
Nov 15,107.87,110.95,111.65,105.43,-,-2.71%
Oct 15,110.88,108.93,113.05,108.7,-,1.58%
Sep 15,109.15,106.21,109.92,104.28,-,2.22%
Aug 15,106.78,110.53,114.87,104.09,-,-3.85%
Jul 15,111.05,124.46,125.31,110.83,-,-11.11%
Jun 15,124.93,110.29,124.97,109.55,-,12.81%
May 15,110.74,114.79,116.22,109.8,-,-3.50%
Apr 15,114.76,116.07,119.56,114.12,-,-0.53%
Mar 15,115.37,121.84,122.44,114.27,-,-5.36%
Feb 15,121.91,118.98,124.9,118.41,-,2.21%
Jan 15,119.27,126.53,130.25,118.46,-,-5.74%
Dec 14,126.53,128.18,132.09,126.22,-,-1.92%
Nov 14,129.01,129.7,132.04,125.56,-,-1.14%
Oct 14,130.5,119.41,131.9,119.34,-,8.91%
Sep 14,119.82,132.09,133.8,118.52,-,-9.54%
Aug 14,132.46,135.37,136.83,130.84,-,-2.25%
Jul 14,135.51,145.44,145.58,133.29,-,-7.31%
Jun 14,146.2,155.25,156.38,145.87,-,-6.28%
May 14,155.99,168.02,168.28,155.36,-,-7.18%
Apr 14,168.06,162.67,168.76,158.98,-,3.49%
Mar 14,162.4,154.88,164.45,154.88,-,4.97%
Feb 14,154.71,138.74,155.9,138.52,-,11.51%
Jan 14,138.74,139.39,140.01,135.81,-,-0.47%
Dec 13,139.39,143.58,144.13,139.27,-,-2.80%
Nov 13,143.41,143.28,144.21,140.13,-,0.15%
Oct 13,143.2,146.51,150.1,143.13,-,-2.26%
Sep 13,146.51,149.41,152.5,145.86,-,-1.94%
Aug 13,149.41,145.91,153.96,141.52,-,2.36%
Jul 13,145.96,150.5,153.38,145.01,-,-2.97%
Jun 13,150.42,158.53,159.88,150.21,-,-4.16%
May 13,156.95,155.33,159.72,154.29,-,0.03%
Apr 13,156.9,155.05,157.52,151.01,-,-0.36%
